top speed,cost new,weight in pounds,miles per gallon,popular color,Target Centroid
164,174827,4837,27,ultraviolet red,(top speed:174-cost new:162919)
226,169722,2844,27,bright red,(top speed:189-cost new:145563)
176,184309,3866,28,bright red,(top speed:174-cost new:162919)
194,178969,4022,35,black,(top speed:179-cost new:193725)
159,166698,4501,12,bright red,(top speed:189-cost new:145563)
149,nan,2819,14,red,(top speed:174-cost new:162919)
168,174149,2616,17,glowing red,(top speed:179-cost new:193725)
223,120882,5205,24,glowing red,(top speed:189-cost new:145563)
184,136739,4254,45,red,(top speed:174-cost new:162919)
nan,184955,5919,52,red,(top speed:179-cost new:193725)
197,177002,5133,50,sunburst red,(top speed:179-cost new:193725)
193,174249,5027,36,black,(top speed:174-cost new:162919)
157,193296,4704,37,red,(top speed:179-cost new:193725)
210,157479,3279,34,red,(top speed:189-cost new:145563)
192,190670,0,49,ultraviolet red,(top speed:174-cost new:162919)
222,109188,2572,14,bright red,(top speed:189-cost new:145563)
205,128435,5950,29,red,(top speed:189-cost new:145563)
189,162818,4412,31,glowing red,(top speed:189-cost new:145563)
224,133086,3059,32,black,(top speed:189-cost new:145563)
205,157935,5447,53,red,(top speed:189-cost new:145563)
1,153925,3876,33,black,(top speed:189-cost new:145563)
1,169974,4842,15,glowing red,(top speed:189-cost new:145563)
182,160424,3587,16,ultraviolet red,(top speed:174-cost new:162919)
161,172135,5117,0,black,(top speed:174-cost new:162919)
195,182458,5243,10,ultraviolet red,(top speed:174-cost new:162919)
None,133080,4469,18,sunburst red,(top speed:189-cost new:145563)
